,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
dwyer,['292'],[],[],[],[],[],[],[],[],[]
kaptur,['293'],[],[],[],[],[],[],[],[],[]
pickl,['294'],[],[],[],[],[],[],[],[],[]
skagg,['295'],[],[],[],[],[],[],[],[],[]
wheat,['296'],[],[],[],[],[],[],[],[],[]
set,['301'],[],[],[],"['1989', '2383', '6025', '6064', '6104']",[],[],['255'],[],"['994', '1249']"
annunzio,"['302', '873']",[],[],[],[],[],[],[],[],[]
dymal,['303'],[],[],[],[],[],[],[],[],[]
kasich,['304'],[],[],[],[],[],[],[],[],[]
porter,['305'],[],[],[],[],[],[],[],[],[]
skeen,['306'],[],[],[],[],[],[],[],[],[]
whitten,['307'],[],[],[],[],[],[],[],[],[]
archer,['308'],[],[],[],[],[],[],[],[],[]
earli,['309'],[],[],[],['583'],['106'],[],[],[],[]
kennedi,['310'],[],[],[],[],[],[],[],[],[]
price,['311'],[],[],[],[],[],[],[],[],['567']
skelton,['312'],[],[],[],[],[],[],[],[],[]
william,['313'],[],[],[],[],[],[],"['269', '275', '279']",[],"['69', '94', '1367']"
forth,['314'],[],[],[],"['1990', '2384']",[],[],['256'],[],['995']
follow,['315'],[],[],"['634', '714', '816']","['303', '4332', '5133', '5381', '5435', '5511', '6055', '6114']","['34', '52', '134', '145', '295', '544']","['239', '407']",[],"['91', '164', '467', '544', '605']",[]
aspin,"['316', '895']",[],[],[],[],[],[],[],[],[]
eckart,['317'],[],[],[],[],[],[],[],[],[]
kennelli,['318'],[],[],[],[],[],[],[],[],[]
spent,"['321', '334', '399']",[],[],"['609', '1048', '1309', '1561']",[],['1042'],[],[],[],[]
pursel,['323'],[],[],[],[],[],[],[],[],[]
slatteri,['324'],[],[],[],[],[],[],[],[],[]
wilson,['325'],[],[],[],[],[],[],[],[],[]
atkin,"['326', '906']",[],[],[],[],[],[],[],[],[]
edward,"['327', '336', '689']",[],[],[],[],[],[],[],[],[]
ca,"['328', '485', '535', '566', '568', '664', '676', '678', '692', '828']",[],[],[],[],[],[],[],[],[]
kilde,['329'],[],[],[],[],[],[],[],[],[]
ramstad,['330'],[],[],[],[],[],[],[],[],[]
slaughter,['331'],[],[],[],[],[],[],[],[],[]
wise,['332'],[],[],[],[],[],[],[],[],[]
aucoin,"['335', '917']",[],[],[],[],[],[],[],[],[]
ok,['337'],[],[],[],[],[],[],[],[],[]
kleczka,['338'],[],[],[],[],[],[],[],[],[]
rangel,['339'],[],[],[],[],[],[],[],[],[]
