,dir/5WEKPBBWFKF47XDYW5QBC36KFVBYJFE5.pdf,dir/IM4NOHWT2KSDC4FBCAXQW722XG3AZCNP.pdf,dir/CS4O7BCLPRK6J5MKIK7BPBFC2UURCM7X.pdf,dir/HGJIJLL3ZVEO2ISTFZSKH53BIC2K3UYX.pdf,dir/BNAB3PKSEPVY6LVEMD6PZQXWXMDDTQ7U.pdf,dir/KAI53AEUTC4X3GRV6WZDEZUWVEYPTPPU.pdf,dir/6RWOLVNDX4CTI4PAGDGMWC3FFBTVW3TK.pdf,dir/LFGBSD5XRLBIZCRBVWTKQPP2JEVRWRRS.pdf,dir/EKWVDOMQ3BRDHPPTHV47A37AY2NUS7XK.pdf,dir/6A2V6MYYSW4C6QUKXJX7BEGNPYKZGV6O.pdf
"('pease', 'shaw')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shaw', 'washington')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('washington', 'alexander')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('alexander', 'dorgan')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dorgan', 'nd')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('nd', 'sd')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sd', 'pelosi')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pelosi', 'shays')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shays', 'waxman')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('waxman', 'energy')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('energy', 'allard')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('allard', 'downey')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('downey', 'johnston')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('johnston', 'penny')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('penny', 'shuster')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shuster', 'weber')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('weber', 'sub')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sub', 'anderson')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('anderson', 'dreier')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('dreier', 'jones')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
